Name,Symbols,Industry
3M,MMM,Industrial Conglomerates
AIG,AIG,Insurance
Amazon,AMZN,Direct Marketing Retail
American Airline,AAL,Airlines
American express,AXP,Banks
Apple,AAPL,Technology Hardware
Bank of America,BAC,Banks
Boeing,BA,Aerospace & Defense
Canon,CAJ,Technology Hardware
Caterpillar,CAT,Machinery
Chevron,CVX,"Oil, Gas & Consumable Fuels"
Cisco,CSCO,Communications Equipment
Coca Cola,KO,Beverages
ColgatePalmolive,CL,Household Products
Comcast,CMCSA,Media
ConocoPhillips,COP,"Oil, Gas & Consumable Fuels"
CVS,CVS,Health Care Providers & Services
Dell,DELL,Technology Hardware
Delta,DAL,Airlines
DuPont de Nemours,DD,Chemicals
Exxon,XOM,"Oil, Gas & Consumable Fuels"
Ford,F,Automobiles
General Dynamics,GD,Aerospace & Defense
General Electrics,GE,Industrial Conglomerates
GlaxoSmithKline,GSK,Pharmaceuticals
Goldman Sachs,GS,Banks
Home Depot,HD,Direct Retail
Honda,HMC,Automobiles
HP,HPQ,Technology Hardware
IBM,IBM,Technology Hardware
Jet Blue,JBLU,Airlines
JPMorgan Chase,JPM,Banks
Kellogg,K,Direct Retail
KimberlyClark,KMB,Household Products
Marriott,MAR,"Hotels, Restaurants & Leisure"
McDonalds,MCD,"Hotels, Restaurants & Leisure"
Microsoft,MSFT,Software
Navistar,NAV,Automobiles
Northrop Grumman,NOC,Aerospace & Defense
Novartis,NVS,Pharmaceuticals
Pepsi,PEP,Beverages
Pfizer,PFE,Pharmaceuticals
Procter Gamble,PG,Household Products
Raytheon,RTN,Transport 
Ryder,R,Transport 
SanofiAventis,SNY,Pharmaceuticals
SAP,SAP,Software
Sony,SNE,Technology Hardware
Texas Instruments,TXN,Semiconductors
Total,TOT,"Oil, Gas & Consumable Fuels"
Toyota,TM,Automobiles
Unilever,UN,Direct Retail
United,UAL,Airlines
Valero Energy,VLO,"Oil, Gas & Consumable Fuels"
WalMart,WMT,Direct Retail
Wells Fargo,WFC,Banks
Xerox,XRX,Technology Hardware
